identifier,region,H2B_intensity,tissue_area_pixels
M762,VISa,23.032967577104863,13409660
M762,VISal,17.038935759800363,12815340
M762,VISam,20.07141924227612,10167820
M762,VISl,18.206058850936323,18715760
M762,VISli,19.05552400195222,7908940
M762,VISpm,20.361873314046512,11662540
M762,VISpor,18.709007838858824,16645280
M762,VISrl,18.005895747793666,29664600
M763,VISa,19.661507465136943,20709600
M763,VISal,19.24143411947465,4248600
M763,VISam,19.3886042229315,8146000
M763,VISl,19.575486492332505,32699539
M763,VISli,18.441980213464056,15539759
M763,VISpm,18.219331170585765,12286840
M763,VISpor,17.955424310101105,25593098
M763,VISrl,18.02734143449911,11606560
M773,VISa,22.62827282363275,11453260
M773,VISal,22.19310929907296,4461520
M773,VISam,20.691031993260708,7620980
M773,VISl,19.366685398879046,9395580
M773,VISli,19.776412747365715,3891000
M773,VISpm,21.00730042804084,4803280
M773,VISpor,20.9569467219374,9756098
M773,VISrl,21.078446189376443,8660000
M776,VISa,22.8170953088545,11803940
M776,VISal,27.62281101305462,3934240
M776,VISam,26.89179568357092,5868740
M776,VISl,23.554252843552717,14937300
M776,VISli,26.791720441156322,5839200
M776,VISpm,22.758591452841095,6366560
M776,VISpor,21.140765692977816,9205439
M776,VISrl,27.546137226487964,9150420
