identifier,region,VSV_intensity,tissue_area_pixels
M608,VISam,3.5827740170623144,2156800
M608,VISl,27.061442884869084,27091420
M608,VISli,32.338019035989994,8386220
M608,VISpm,9.82844667731322,18497380
M608,VISpor,32.21477942837498,45679561
M608,VISrl,12.650540676845699,32161540
M609,VISa,21.31677164875772,8226800
M609,VISal,5.352350002720644,5844206
M609,VISam,16.648776354690014,7718740
M609,VISl,19.48423472198501,30938116
M609,VISli,47.247500455944156,5154140
M609,VISpm,5.952418270790636,4718723
M609,VISrl,17.05546044597223,1768720
M610,VISa,15.359497891777133,35081680
M610,VISal,3.752816329091392,5483024
M610,VISam,11.223853483051357,6643600
M610,VISl,21.226841516970474,23915772
M610,VISli,31.532619603224166,9894403
M610,VISpor,73.94604277580598,10819200
