age,identifier,region,image_count,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M677,RSPagl,37,1445826871,468430608.3502641,57038160,33033460
p12,M677,RSPd,37,2974838582,999863919.5082475,115913320,60961260
p12,M677,RSPv,37,3427825434,1150862183.1243725,145705079,82259460
p12,M677,VISa,11,1132629964,379787059.32765347,35233580,19540620
p12,M677,VISal,10,501001533,166772521.178012,28460899,14718580
p12,M677,VISam,12,532858772,172595531.98425797,17330060,10934220
p12,M677,VISl,8,195097501,62956448.057840005,16635700,7169840
p12,M677,VISli,8,164042500,51921471.99561046,16361120,5926880
p12,M677,VISp,20,4540595400,1390429033.1797454,165148283,103403351
p12,M677,VISpm,15,311355714,103093257.40048577,18090920,11487820
p12,M677,VISpor,2,22453092,7835075.108229474,2422660,993500
p12,M677,VISrl,13,499234658,163515838.4374968,21819721,9554361
p12,M678,RSPagl,27,869697545,278762463.0526948,51970880,27145860
p12,M678,RSPd,27,1918233460,645545433.2156035,103672619,49593180
p12,M678,RSPv,27,2401197056,809661020.7534076,156054351,87434815
p12,M678,VISa,7,313571120,103244485.54364575,20441120,13783940
p12,M678,VISal,9,372550027,120108984.62885837,22978580,10914800
p12,M678,VISam,14,465481377,154872309.3097495,26265760,18092460
p12,M678,VISl,8,151884810,50056488.45767198,14764583,5374841
p12,M678,VISli,10,149952328,45692400.561612874,16707320,5751080
p12,M678,VISp,21,3199188746,1014386360.181373,218178219,116680341
p12,M678,VISpm,20,669122977,218378783.2542357,33170360,19818500
p12,M678,VISpor,3,32313538,11158055.004140683,4347880,1927020
p12,M678,VISrl,12,548471270,181671175.55049634,36131239,18460160
p12,M704,RSPagl,40,1094535883,358358627.7373591,63428780,37100280
p12,M704,RSPd,40,2133088377,736501198.9120976,128984620,63446900
p12,M704,RSPv,40,2273135496,758938822.2501198,157638820,81893900
p12,M704,VISa,14,1075467206,360600590.6080581,56452660,33207400
p12,M704,VISal,11,194884504,64878854.11871611,29147481,14946321
p12,M704,VISam,12,166477100,55740228.56404461,13899740,6771640
p12,M704,VISl,12,147075583,47718706.548179895,23176960,9286880
p12,M704,VISli,13,142017425,44079440.222590104,19810860,6980180
p12,M704,VISp,20,1677567213,526791198.1022503,178067900,90808020
p12,M704,VISpm,21,351968963,116901417.71448618,35712980,20631420
p12,M704,VISpor,6,101179179,34412863.911601126,10319900,5984520
p12,M704,VISrl,14,204450191,68768301.6651039,26380580,10978040
p12,M705,RSPagl,47,767458375,250567425.97474945,69126300,33412880
p12,M705,RSPd,47,1571708770,535453458.34001637,135932080,59141180
p12,M705,RSPv,46,1843415475,604579805.5194587,158983580,77604600
p12,M705,VISa,16,896811867,301358453.03586435,51184900,28086940
p12,M705,VISal,12,203379946,69232646.57491392,22809060,11697560
p12,M705,VISam,18,482679680,158978846.58320016,33929520,19792260
p12,M705,VISl,18,372231291,121047369.5841031,44828080,23279080
p12,M705,VISli,17,159930177,49634717.30963187,23953320,10841620
p12,M705,VISp,28,1876080017,590624705.4137402,236799160,112747460
p12,M705,VISpm,25,291284328,96690721.95137414,31052740,16756080
p12,M705,VISpor,7,75193081,25741477.686339926,10934720,5023400
p12,M705,VISrl,20,459228434,153685351.07797617,47236060,20195980
p12,M711,RSPagl,36,651983823,216231261.47127968,56080656,25904899
p12,M711,RSPd,36,1294608233,440107216.4939239,99185444,46735499
p12,M711,RSPv,30,1567181334,515666889.90445334,117464238,65122619
p12,M711,VISa,7,128452305,43210357.44882219,12891420,6591640
p12,M711,VISal,10,338429077,113365714.6131527,35123860,16356640
p12,M711,VISam,7,142320366,46485861.417150624,11131180,6988158
p12,M711,VISl,20,451156119,148488244.62853506,42008959,19641059
p12,M711,VISli,13,148889063,46526817.559534445,17791180,6885540
p12,M711,VISp,29,2256679408,734906080.4012191,172425750,92952116
p12,M711,VISpl,6,169125164,59981734.26763957,12222694,4853998
p12,M711,VISpm,18,321717738,103314989.9152286,25928560,14315980
p12,M711,VISpor,9,328923107,107368020.05536056,22108078,12006298
p12,M711,VISrl,9,173207263,57046087.19595254,22961100,9521820
p12,M758,RSPagl,54,1154245158,382417308.8958923,125749021,44955200
p12,M758,RSPd,55,1924400795,644090121.3579404,199297303,78808901
p12,M758,RSPv,46,1909002652,620297209.0155436,191453462,87584261
p12,M758,VISa,11,558854810,186884797.8761527,33351480,18418440
p12,M758,VISal,8,192461095,65078585.94989868,21471320,9830740
p12,M758,VISam,8,119282426,39207435.76238529,8971960,6264920
p12,M758,VISl,29,753405439,246007664.93343648,75412060,39277280
p12,M758,VISli,23,333168406,102250424.61887908,41270682,18333800
p12,M758,VISp,41,3984304673,1234399246.2521842,375875288,192186546
p12,M758,VISpl,9,510683383,172563452.6798605,34169262,11722299
p12,M758,VISpm,32,507259421,167745908.94734687,37302080,24424580
p12,M758,VISpor,23,581753611,190142937.67137334,49060098,25211060
p12,M758,VISrl,9,134883945,44161943.927159324,29904962,7225061
p20,M648,RSPagl,26,917827499,290944617.7913409,43012200,28990000
p20,M648,RSPd,26,1894755040,631848358.5964429,87172140,51547740
p20,M648,RSPv,26,1877771268,617557358.7240075,106362535,62817816
p20,M648,VISa,19,1628437547,543503108.6094579,92240679,51068259
p20,M648,VISal,9,342109731,111900555.0066632,26546739,13656739
p20,M648,VISam,17,671053456,222446755.89345565,32306660,18861740
p20,M648,VISl,1,8440800,3045790.9507893603,637840,310460
p20,M648,VISp,7,1433958484,445817088.9332366,69611460,40349240
p20,M648,VISpm,5,105924479,33856463.37428063,9242820,4797600
p20,M648,VISrl,18,525334714,173805704.70474872,38880598,15338420
p20,M649,RSPagl,34,2587286452,808583651.3335505,46618780,30743380
p20,M649,RSPd,34,5034112850,1656859783.5542014,101770020,57528620
p20,M649,RSPv,34,6039133758,1964442711.245633,128190436,77124938
p20,M649,VISa,12,2659970763,865247765.9074947,50761339,29609740
p20,M649,VISal,14,1266339040,407639261.3920679,33418260,16116779
p20,M649,VISam,20,1255136033,400967240.20323557,26345540,15061280
p20,M649,VISl,2,135706843,41411108.50134087,6142420,2202960
p20,M649,VISli,2,128351518,42164869.254096396,5755679,2827440
p20,M649,VISp,17,6956479222,2127126655.8427994,146606440,88058200
p20,M649,VISpm,12,896210671,284028182.7572354,18948540,11266520
p20,M649,VISrl,22,1024644522,334039819.53159964,36595279,11152640
p20,M712,RSPagl,38,667802542,215406620.45999026,57390980,32723040
p20,M712,RSPd,38,1342087483,454306555.5287174,111055440,56931700
p20,M712,RSPv,38,1546137486,523361090.1663474,149484117,84338399
p20,M712,VISa,12,200969591,66390448.46343885,21092840,11287080
p20,M712,VISal,11,155049879,50596155.73962685,24494160,11505820
p20,M712,VISam,14,237936599,79991115.09794144,29220460,18567040
p20,M712,VISl,8,176162242,57872698.056133024,21785820,10399300
p20,M712,VISli,7,78473459,24323163.27975323,10981720,4825100
p20,M712,VISp,23,1629561381,492185395.42466575,209503579,111022039
p20,M712,VISpm,19,105830240,35795861.208015025,18365340,7647520
p20,M712,VISpor,3,70321966,23035351.964076843,9837540,4702840
p20,M712,VISrl,15,225570850,72929269.92849089,39306277,17586558
p3,M729,RSPagl,32,1165301490,378616276.29091644,61763219,22999032
p3,M729,RSPd,32,2140669785,686673138.6074654,84949614,41103454
p3,M729,RSPv,26,1671901468,536226219.0990141,70589050,39718151
p3,M729,VISa,8,831433945,278325474.4111955,26740050,15251940
p3,M729,VISal,9,241947754,81182356.77630946,14024120,7073160
p3,M729,VISam,9,240477076,81928929.06293413,12222810,6922990
p3,M729,VISl,15,517725879,161764271.1804009,22779543,11186761
p3,M729,VISli,13,182466563,55449011.186568834,11008780,4714180
p3,M729,VISp,23,3536000483,1088809856.7202692,151472041,75867429
p3,M729,VISpl,3,91826650,30880156.991788983,3007259,1038640
p3,M729,VISpm,20,552737806,180642096.6067718,22264240,13977400
p3,M729,VISpor,10,317229014,101358187.73006377,14337287,6431368
p3,M729,VISrl,13,346764891,113534356.5510147,19382810,9077870
p3,M730,RSPagl,35,1468014927,480277840.48055935,40710561,18534600
p3,M730,RSPd,35,2800678563,928463032.865244,85304501,35905741
p3,M730,RSPv,34,3471386659,1123706656.722071,108958120,54070180
p3,M730,VISa,8,664181682,222834528.32582793,14863420,8182720
p3,M730,VISal,10,406479635,133362972.7048167,10822980,5242900
p3,M730,VISam,7,271385980,91228265.0622856,5064240,3635480
p3,M730,VISl,15,786294562,257795122.4258285,22593099,11827219
p3,M730,VISli,14,380100659,116484779.9127809,11768577,5668119
p3,M730,VISp,26,6044933494,1794683573.0684202,194116462,82926698
p3,M730,VISpm,20,869257224,281993229.1472336,18451020,11620280
p3,M730,VISpor,4,92812496,30919722.88634149,2665840,1520260
p3,M730,VISrl,11,196557893,64538030.69984336,9624240,3039940
p60,M762,RSPagl,42,790644306,260276014.32376748,96783000,40472680
p60,M762,RSPd,43,1534982513,511693305.86214894,159040060,71565520
p60,M762,RSPv,37,1702668767,558250795.7698033,158906840,78988840
p60,M762,VISa,11,308864264,98706421.96487474,23053560,13409660
p60,M762,VISal,13,218359755,71877091.09438297,26123860,12815340
p60,M762,VISam,13,204082578,64732812.987470776,14706660,10167820
p60,M762,VISl,16,340740228,111855143.86041616,35184720,18715760
p60,M762,VISli,12,150708996,47385091.48869281,16393840,7908940
p60,M762,VISp,29,2946589813,905542626.5727317,274497660,142466181
p60,M762,VISpl,7,157517525,54763130.61194685,19128658,6685132
p60,M762,VISpm,20,237471162,77895705.33629681,24314380,11662540
p60,M762,VISpor,13,311416674,101603920.04757427,30508980,16645280
p60,M762,VISrl,17,534137695,177210709.59833947,55570480,29664600
p60,M763,RSPagl,45,962996001,319964567.2603056,142931823,50271361
p60,M763,RSPd,45,1813075922,614635212.724926,223329761,89149161
p60,M763,RSPv,39,1636515817,534118328.4654489,151483477,74684918
p60,M763,VISa,13,407181955,133474491.35754488,36530940,20709600
p60,M763,VISal,5,81749157,26828142.820993073,8124680,4248600
p60,M763,VISam,11,157939570,50881920.067869164,12158660,8146000
p60,M763,VISl,21,640109384,207218538.25209787,64821979,32699539
p60,M763,VISli,18,286583928,88779151.76486951,34206997,15539759
p60,M763,VISp,28,3330490799,1029619603.6064198,360795704,170906661
p60,M763,VISpl,7,224915456,75552653.55913049,28825821,10474080
p60,M763,VISpm,22,223858007,72427586.06279801,22373140,12286840
p60,M763,VISpor,18,459534934,152294460.73298436,52337017,25593098
p60,M763,VISrl,11,209235420,69591160.6498083,23449540,11606560
p60,M773,RSPagl,27,539330805,172476221.55917305,53643073,22536139
p60,M773,RSPd,26,1001229671,339262398.9021814,89127573,40944139
p60,M773,RSPv,22,1075131696,352854431.8626267,79968280,47602680
p60,M773,VISa,8,259167492,87401129.5814801,21787860,11453260
p60,M773,VISal,5,99015001,32746553.837880522,9179100,4461520
p60,M773,VISam,10,157685941,51719200.96844076,15371280,7620980
p60,M773,VISl,10,181961242,58872164.768760875,20488658,9395580
p60,M773,VISli,8,76950022,23725375.485849172,9328980,3891000
p60,M773,VISp,20,1500144298,471249712.9270122,125882265,65610174
p60,M773,VISpl,5,151968061,50808578.05407322,12994278,5772360
p60,M773,VISpm,12,100903946,32233284.526589423,9962900,4803280
p60,M773,VISpor,7,204458026,67874155.33934602,19002816,9756098
p60,M773,VISrl,9,182539344,59761005.971143864,19056000,8660000
p60,M776,RSPagl,27,477802078,157745274.5278318,52375636,21118720
p60,M776,RSPd,27,875294920,296136187.0307847,87814246,37953959
p60,M776,RSPv,23,908209416,292749870.37016207,78375240,42587180
p60,M776,VISa,8,269331624,88612277.86823392,23393900,11803940
p60,M776,VISal,4,108674768,37066513.36666428,7875180,3934240
p60,M776,VISam,7,157820957,51561595.38610908,10704680,5868740
p60,M776,VISl,14,351836941,116281670.74342327,29215779,14937300
p60,M776,VISli,10,156442214,48677523.35541172,13765520,5839200
p60,M776,VISp,21,2177464309,667541989.8530818,160840361,80391698
p60,M776,VISpl,4,79596419,28005460.858983293,9714099,2731100
p60,M776,VISpm,13,144893938,47904228.238072835,10480160,6366560
p60,M776,VISpor,8,194610029,64020779.34667415,17854019,9205439
p60,M776,VISrl,8,252058725,82969683.02491035,18337420,9150420
